d(0, 0) = 0
d(29725, 29725) = 42037.4981415
d(29726, 29726) = 42038.9123551
d(29727, 29727) = 42040.3265687
d(29728, 29728) = 42041.7407822
d(29729, 29729) = 42043.1549958
d(29730, 29730) = 42044.5692094
d(29731, 29731) = 42045.9834229
d(29732, 29732) = 42047.3976365
d(29733, 29733) = 42048.81185
d(29734, 29734) = 42050.2260636
d(29735, 29735) = 42051.6402772
d(29736, 29736) = 42053.0544907
d(29737, 29737) = 42054.4687043
d(29738, 29738) = 42055.8829179
d(29739, 29739) = 42057.2971314
d(29740, 29740) = 42058.711345
d(29741, 29741) = 42060.1255585
d(29742, 29742) = 42061.5397721
d(29743, 29743) = 42062.9539857
d(29744, 29744) = 42064.3681992
d(29745, 29745) = 42065.7824128
d(29746, 29746) = 42067.1966264
d(29747, 29747) = 42068.6108399
d(29748, 29748) = 42070.0250535
d(29749, 29749) = 42071.439267
d(29750, 29750) = 42072.8534806
d(29751, 29751) = 42074.2676942
d(29752, 29752) = 42075.6819077
d(29753, 29753) = 42077.0961213
d(29754, 29754) = 42078.5103348
d(29755, 29755) = 42079.9245484
d(29756, 29756) = 42081.338762
d(29757, 29757) = 42082.7529755
d(29758, 29758) = 42084.1671891
d(29759, 29759) = 42085.5814027
d(29760, 29760) = 42086.9956162
d(29761, 29761) = 42088.4098298
d(29762, 29762) = 42089.8240433
d(29763, 29763) = 42091.2382569
d(29764, 29764) = 42092.6524705
d(29765, 29765) = 42094.066684
d(29766, 29766) = 42095.4808976
d(29767, 29767) = 42096.8951112
d(29768, 29768) = 42098.3093247
d(29769, 29769) = 42099.7235383
d(29770, 29770) = 42101.1377518
d(29771, 29771) = 42102.5519654
d(29772, 29772) = 42103.966179
d(29773, 29773) = 42105.3803925
d(29774, 29774) = 42106.7946061
d(29775, 29775) = 42108.2088197
d(29776, 29776) = 42109.6230332
d(29777, 29777) = 42111.0372468
d(29778, 29778) = 42112.4514603
d(29779, 29779) = 42113.8656739
d(29780, 29780) = 42115.2798875
d(29781, 29781) = 42116.694101
d(29782, 29782) = 42118.1083146
d(29783, 29783) = 42119.5225282
d(29784, 29784) = 42120.9367417
d(29785, 29785) = 42122.3509553
d(29786, 29786) = 42123.7651688
d(29787, 29787) = 42125.1793824
d(29788, 29788) = 42126.593596
d(29789, 29789) = 42128.0078095
d(29790, 29790) = 42129.4220231
d(29791, 29791) = 42130.8362367
d(29792, 29792) = 42132.2504502
d(29793, 29793) = 42133.6646638
d(29794, 29794) = 42135.0788773
d(29795, 29795) = 42136.4930909
d(29796, 29796) = 42137.9073045
d(29797, 29797) = 42139.321518
d(29798, 29798) = 42140.7357316
d(29799, 29799) = 42142.1499452
d(29800, 29800) = 42143.5641587
d(29801, 29801) = 42144.9783723
d(29802, 29802) = 42146.3925858
d(29803, 29803) = 42147.8067994
d(29804, 29804) = 42149.221013
d(29805, 29805) = 42150.6352265
d(29806, 29806) = 42152.0494401
d(29807, 29807) = 42153.4636537
d(29808, 29808) = 42154.8778672
d(29809, 29809) = 42156.2920808
d(29810, 29810) = 42157.7062943
d(29811, 29811) = 42159.1205079
d(29812, 29812) = 42160.5347215
d(29813, 29813) = 42161.948935
d(29814, 29814) = 42163.3631486
d(29815, 29815) = 42164.7773622
d(29816, 29816) = 42166.1915757
d(29817, 29817) = 42167.6057893
d(29818, 29818) = 42169.0200028
d(29819, 29819) = 42170.4342164
d(29820, 29820) = 42171.84843
d(29821, 29821) = 42173.2626435
d(29822, 29822) = 42174.6768571
d(29823, 29823) = 42176.0910707
d(29824, 29824) = 42177.5052842
d(29825, 29825) = 42178.9194978
d(29826, 29826) = 42180.3337113
d(29827, 29827) = 42181.7479249
d(29828, 29828) = 42183.1621385
d(29829, 29829) = 42184.576352
d(29830, 29830) = 42185.9905656
d(29831, 29831) = 42187.4047792
d(29832, 29832) = 42188.8189927
d(29833, 29833) = 42190.2332063
d(29834, 29834) = 42191.6474198
d(29835, 29835) = 42193.0616334
d(29836, 29836) = 42194.475847
d(29837, 29837) = 42195.8900605
d(29838, 29838) = 42197.3042741
d(29839, 29839) = 42198.7184877
d(29840, 29840) = 42200.1327012
d(29841, 29841) = 42201.5469148
d(29842, 29842) = 42202.9611283
d(29843, 29843) = 42204.3753419
d(29844, 29844) = 42205.7895555
d(29845, 29845) = 42207.203769
d(29846, 29846) = 42208.6179826
d(29847, 29847) = 42210.0321961
d(29848, 29848) = 42211.4464097
d(29849, 29849) = 42212.8606233
d(29850, 29850) = 42214.2748368
d(29851, 29851) = 42215.6890504
d(29852, 29852) = 42217.103264
d(29853, 29853) = 42218.5174775
d(29854, 29854) = 42219.9316911
d(29855, 29855) = 42221.3459046
d(29856, 29856) = 42222.7601182
d(29857, 29857) = 42224.1743318
d(29858, 29858) = 42225.5885453
d(29859, 29859) = 42227.0027589
d(29860, 29860) = 42228.4169725
d(29861, 29861) = 42229.831186
d(29862, 29862) = 42231.2453996
d(29863, 29863) = 42232.6596131
d(29864, 29864) = 42234.0738267
d(29865, 29865) = 42235.4880403
d(29866, 29866) = 42236.9022538
d(29867, 29867) = 42238.3164674
d(29868, 29868) = 42239.730681
d(29869, 29869) = 42241.1448945
d(29870, 29870) = 42242.5591081
d(29871, 29871) = 42243.9733216
d(29872, 29872) = 42245.3875352
d(29873, 29873) = 42246.8017488
d(29874, 29874) = 42248.2159623
d(29875, 29875) = 42249.6301759
d(29876, 29876) = 42251.0443895
d(29877, 29877) = 42252.458603
d(29878, 29878) = 42253.8728166
d(29879, 29879) = 42255.2870301
d(29880, 29880) = 42256.7012437
d(29881, 29881) = 42258.1154573
d(29882, 29882) = 42259.5296708
d(29883, 29883) = 42260.9438844
d(29884, 29884) = 42262.358098
d(29885, 29885) = 42263.7723115
d(29886, 29886) = 42265.1865251
d(29887, 29887) = 42266.6007386
d(29888, 29888) = 42268.0149522
d(29889, 29889) = 42269.4291658
d(29890, 29890) = 42270.8433793
d(29891, 29891) = 42272.2575929
d(29892, 29892) = 42273.6718065
d(29893, 29893) = 42275.08602
d(29894, 29894) = 42276.5002336
d(29895, 29895) = 42277.9144471
d(29896, 29896) = 42279.3286607
d(29897, 29897) = 42280.7428743
d(29898, 29898) = 42282.1570878
d(29899, 29899) = 42283.5713014
d(29900, 29900) = 42284.985515
d(29901, 29901) = 42286.3997285
d(29902, 29902) = 42287.8139421
d(29903, 29903) = 42289.2281556
d(29904, 29904) = 42290.6423692
d(29905, 29905) = 42292.0565828
d(29906, 29906) = 42293.4707963
d(29907, 29907) = 42294.8850099
d(29908, 29908) = 42296.2992235
d(29909, 29909) = 42297.713437
d(29910, 29910) = 42299.1276506
d(29911, 29911) = 42300.5418641
d(29912, 29912) = 42301.9560777
d(29913, 29913) = 42303.3702913
d(29914, 29914) = 42304.7845048
d(29915, 29915) = 42306.1987184
d(29916, 29916) = 42307.612932
d(29917, 29917) = 42309.0271455
d(29918, 29918) = 42310.4413591
d(29919, 29919) = 42311.8555726
d(29920, 29920) = 42313.2697862
d(29921, 29921) = 42314.6839998
d(29922, 29922) = 42316.0982133
d(29923, 29923) = 42317.5124269
d(29924, 29924) = 42318.9266405
d(29925, 29925) = 42320.340854
d(29926, 29926) = 42321.7550676
d(29927, 29927) = 42323.1692811
d(29928, 29928) = 42324.5834947
d(29929, 29929) = 42325.9977083
d(29930, 29930) = 42327.4119218
d(29931, 29931) = 42328.8261354
d(29932, 29932) = 42330.240349
d(29933, 29933) = 42331.6545625
d(29934, 29934) = 42333.0687761
d(29935, 29935) = 42334.4829896
d(29936, 29936) = 42335.8972032
d(29937, 29937) = 42337.3114168
d(29938, 29938) = 42338.7256303
d(29939, 29939) = 42340.1398439
d(29940, 29940) = 42341.5540575
d(29941, 29941) = 42342.968271
d(29942, 29942) = 42344.3824846
d(29943, 29943) = 42345.7966981
d(29944, 29944) = 42347.2109117
d(29945, 29945) = 42348.6251253
d(29946, 29946) = 42350.0393388
d(29947, 29947) = 42351.4535524
d(29948, 29948) = 42352.8677659
d(29949, 29949) = 42354.2819795
d(29950, 29950) = 42355.6961931
d(29951, 29951) = 42357.1104066
d(29952, 29952) = 42358.5246202
d(29953, 29953) = 42359.9388338
d(29954, 29954) = 42361.3530473
d(29955, 29955) = 42362.7672609
d(29956, 29956) = 42364.1814744
d(29957, 29957) = 42365.595688
d(29958, 29958) = 42367.0099016
d(29959, 29959) = 42368.4241151
d(29960, 29960) = 42369.8383287
d(29961, 29961) = 42371.2525423
d(29962, 29962) = 42372.6667558
d(29963, 29963) = 42374.0809694
d(29964, 29964) = 42375.4951829
d(29965, 29965) = 42376.9093965
d(29966, 29966) = 42378.3236101
d(29967, 29967) = 42379.7378236
d(29968, 29968) = 42381.1520372
d(29969, 29969) = 42382.5662508
d(29970, 29970) = 42383.9804643
d(29971, 29971) = 42385.3946779
d(29972, 29972) = 42386.8088914
d(29973, 29973) = 42388.223105
d(29974, 29974) = 42389.6373186
d(29975, 29975) = 42391.0515321
d(29976, 29976) = 42392.4657457
d(29977, 29977) = 42393.8799593
d(29978, 29978) = 42395.2941728
d(29979, 29979) = 42396.7083864
d(29980, 29980) = 42398.1225999
d(29981, 29981) = 42399.5368135
d(29982, 29982) = 42400.9510271
d(29983, 29983) = 42402.3652406
d(29984, 29984) = 42403.7794542
d(29985, 29985) = 42405.1936678
d(29986, 29986) = 42406.6078813
d(29987, 29987) = 42408.0220949
d(29988, 29988) = 42409.4363084
d(29989, 29989) = 42410.850522
d(29990, 29990) = 42412.2647356
d(29991, 29991) = 42413.6789491
d(29992, 29992) = 42415.0931627
d(29993, 29993) = 42416.5073763
d(29994, 29994) = 42417.9215898
d(29995, 29995) = 42419.3358034
d(29996, 29996) = 42420.7500169
d(29997, 29997) = 42422.1642305
d(29998, 29998) = 42423.5784441
d(29999, 29999) = 42424.9926576
d(30000, 30000) = 42426.4068712
d(30001, 30001) = 42427.8210848
d(30002, 30002) = 42429.2352983
d(30003, 30003) = 42430.6495119
d(30004, 30004) = 42432.0637254
d(30005, 30005) = 42433.477939
d(30006, 30006) = 42434.8921526
d(30007, 30007) = 42436.3063661
d(30008, 30008) = 42437.7205797
d(30009, 30009) = 42439.1347933
d(30010, 30010) = 42440.5490068
d(30011, 30011) = 42441.9632204
d(30012, 30012) = 42443.3774339
d(30013, 30013) = 42444.7916475
d(30014, 30014) = 42446.2058611
d(30015, 30015) = 42447.6200746
d(30016, 30016) = 42449.0342882
d(30017, 30017) = 42450.4485018
d(30018, 30018) = 42451.8627153
d(30019, 30019) = 42453.2769289
d(30020, 30020) = 42454.6911424
d(30021, 30021) = 42456.105356
d(30022, 30022) = 42457.5195696
d(30023, 30023) = 42458.9337831
d(30024, 30024) = 42460.3479967
d(30025, 30025) = 42461.7622103
d(30026, 30026) = 42463.1764238
d(30027, 30027) = 42464.5906374
d(30028, 30028) = 42466.0048509
d(30029, 30029) = 42467.4190645
d(30030, 30030) = 42468.8332781
d(30031, 30031) = 42470.2474916
d(30032, 30032) = 42471.6617052
d(30033, 30033) = 42473.0759188
d(30034, 30034) = 42474.4901323
d(30035, 30035) = 42475.9043459
d(30036, 30036) = 42477.3185594
d(30037, 30037) = 42478.732773
d(30038, 30038) = 42480.1469866
d(30039, 30039) = 42481.5612001
d(30040, 30040) = 42482.9754137
d(30041, 30041) = 42484.3896273
d(30042, 30042) = 42485.8038408
d(30043, 30043) = 42487.2180544
d(30044, 30044) = 42488.6322679
d(30045, 30045) = 42490.0464815
d(30046, 30046) = 42491.4606951
d(30047, 30047) = 42492.8749086
d(30048, 30048) = 42494.2891222
d(30049, 30049) = 42495.7033357
d(30050, 30050) = 42497.1175493
d(30051, 30051) = 42498.5317629
d(30052, 30052) = 42499.9459764
d(30053, 30053) = 42501.36019
d(30054, 30054) = 42502.7744036
d(30055, 30055) = 42504.1886171
d(30056, 30056) = 42505.6028307
d(30057, 30057) = 42507.0170442
d(30058, 30058) = 42508.4312578
d(30059, 30059) = 42509.8454714
d(30060, 30060) = 42511.2596849
d(30061, 30061) = 42512.6738985
d(30062, 30062) = 42514.0881121
d(30063, 30063) = 42515.5023256
d(30064, 30064) = 42516.9165392
d(30065, 30065) = 42518.3307527
d(30066, 30066) = 42519.7449663
d(30067, 30067) = 42521.1591799
d(30068, 30068) = 42522.5733934
d(30069, 30069) = 42523.987607
d(30070, 30070) = 42525.4018206
d(30071, 30071) = 42526.8160341
d(30072, 30072) = 42528.2302477
d(30073, 30073) = 42529.6444612
d(30074, 30074) = 42531.0586748
d(30075, 30075) = 42532.4728884
d(30076, 30076) = 42533.8871019
d(30077, 30077) = 42535.3013155
d(30078, 30078) = 42536.7155291
d(30079, 30079) = 42538.1297426
d(30080, 30080) = 42539.5439562
d(30081, 30081) = 42540.9581697
d(30082, 30082) = 42542.3723833
d(30083, 30083) = 42543.7865969
d(30084, 30084) = 42545.2008104
d(30085, 30085) = 42546.615024
d(30086, 30086) = 42548.0292376
d(30087, 30087) = 42549.4434511
d(30088, 30088) = 42550.8576647
d(30089, 30089) = 42552.2718782
d(30090, 30090) = 42553.6860918
d(30091, 30091) = 42555.1003054
d(30092, 30092) = 42556.5145189
d(30093, 30093) = 42557.9287325
d(30094, 30094) = 42559.3429461
d(30095, 30095) = 42560.7571596
d(30096, 30096) = 42562.1713732
d(30097, 30097) = 42563.5855867
d(30098, 30098) = 42564.9998003
d(30099, 30099) = 42566.4140139
d(30100, 30100) = 42567.8282274
d(30101, 30101) = 42569.242441
d(30102, 30102) = 42570.6566546
d(30103, 30103) = 42572.0708681
d(30104, 30104) = 42573.4850817
d(30105, 30105) = 42574.8992952
d(30106, 30106) = 42576.3135088
d(30107, 30107) = 42577.7277224
d(30108, 30108) = 42579.1419359
d(30109, 30109) = 42580.5561495
d(30110, 30110) = 42581.9703631
d(30111, 30111) = 42583.3845766
d(30112, 30112) = 42584.7987902
d(30113, 30113) = 42586.2130037
d(30114, 30114) = 42587.6272173
d(30115, 30115) = 42589.0414309
d(30116, 30116) = 42590.4556444
d(30117, 30117) = 42591.869858
d(30118, 30118) = 42593.2840716
d(30119, 30119) = 42594.6982851
d(30120, 30120) = 42596.1124987
d(30121, 30121) = 42597.5267122
d(30122, 30122) = 42598.9409258
d(30123, 30123) = 42600.3551394
d(30124, 30124) = 42601.7693529
d(30125, 30125) = 42603.1835665
d(30126, 30126) = 42604.5977801
d(30127, 30127) = 42606.0119936
d(30128, 30128) = 42607.4262072
d(30129, 30129) = 42608.8404207
d(30130, 30130) = 42610.2546343
d(30131, 30131) = 42611.6688479
d(30132, 30132) = 42613.0830614
d(30133, 30133) = 42614.497275
d(30134, 30134) = 42615.9114886
d(30135, 30135) = 42617.3257021
d(30136, 30136) = 42618.7399157
d(30137, 30137) = 42620.1541292
d(30138, 30138) = 42621.5683428
d(30139, 30139) = 42622.9825564
d(30140, 30140) = 42624.3967699
d(30141, 30141) = 42625.8109835
d(30142, 30142) = 42627.225197
d(30143, 30143) = 42628.6394106
d(30144, 30144) = 42630.0536242
d(30145, 30145) = 42631.4678377
d(30146, 30146) = 42632.8820513
d(30147, 30147) = 42634.2962649
d(30148, 30148) = 42635.7104784
d(30149, 30149) = 42637.124692
d(30150, 30150) = 42638.5389055
d(30151, 30151) = 42639.9531191
d(30152, 30152) = 42641.3673327
d(30153, 30153) = 42642.7815462
d(30154, 30154) = 42644.1957598
d(30155, 30155) = 42645.6099734
d(30156, 30156) = 42647.0241869
d(30157, 30157) = 42648.4384005
d(30158, 30158) = 42649.852614
d(30159, 30159) = 42651.2668276
d(30160, 30160) = 42652.6810412
d(30161, 30161) = 42654.0952547
d(30162, 30162) = 42655.5094683
d(30163, 30163) = 42656.9236819
d(30164, 30164) = 42658.3378954
d(30165, 30165) = 42659.752109
d(30166, 30166) = 42661.1663225
d(30167, 30167) = 42662.5805361
d(30168, 30168) = 42663.9947497
d(30169, 30169) = 42665.4089632
d(30170, 30170) = 42666.8231768
d(30171, 30171) = 42668.2373904
d(30172, 30172) = 42669.6516039
d(30173, 30173) = 42671.0658175
d(30174, 30174) = 42672.480031
d(30175, 30175) = 42673.8942446
d(30176, 30176) = 42675.3084582
d(30177, 30177) = 42676.7226717
d(30178, 30178) = 42678.1368853
d(30179, 30179) = 42679.5510989
d(30180, 30180) = 42680.9653124
d(30181, 30181) = 42682.379526
d(30182, 30182) = 42683.7937395
d(30183, 30183) = 42685.2079531
d(30184, 30184) = 42686.6221667
d(30185, 30185) = 42688.0363802
d(30186, 30186) = 42689.4505938
d(30187, 30187) = 42690.8648074
d(30188, 30188) = 42692.2790209
d(30189, 30189) = 42693.6932345
d(30190, 30190) = 42695.107448
d(30191, 30191) = 42696.5216616
d(30192, 30192) = 42697.9358752
d(30193, 30193) = 42699.3500887
d(30194, 30194) = 42700.7643023
d(30195, 30195) = 42702.1785159
d(30196, 30196) = 42703.5927294
d(30197, 30197) = 42705.006943
d(30198, 30198) = 42706.4211565
d(30199, 30199) = 42707.8353701
d(30200, 30200) = 42709.2495837
d(30201, 30201) = 42710.6637972
d(30202, 30202) = 42712.0780108
d(30203, 30203) = 42713.4922244
d(30204, 30204) = 42714.9064379
d(30205, 30205) = 42716.3206515
d(30206, 30206) = 42717.734865
d(30207, 30207) = 42719.1490786
d(30208, 30208) = 42720.5632922
d(30209, 30209) = 42721.9775057
d(30210, 30210) = 42723.3917193
d(30211, 30211) = 42724.8059329
d(30212, 30212) = 42726.2201464
d(30213, 30213) = 42727.63436
d(30214, 30214) = 42729.0485735
d(30215, 30215) = 42730.4627871
d(30216, 30216) = 42731.8770007
d(30217, 30217) = 42733.2912142
d(30218, 30218) = 42734.7054278
d(30219, 30219) = 42736.1196414
d(30220, 30220) = 42737.5338549
d(30221, 30221) = 42738.9480685
d(30222, 30222) = 42740.362282
d(30223, 30223) = 42741.7764956
d(30224, 30224) = 42743.1907092
d(30225, 30225) = 42744.6049227
d(30226, 30226) = 42746.0191363
d(30227, 30227) = 42747.4333499
d(30228, 30228) = 42748.8475634
d(30229, 30229) = 42750.261777
d(30230, 30230) = 42751.6759905
d(30231, 30231) = 42753.0902041
d(30232, 30232) = 42754.5044177
d(30233, 30233) = 42755.9186312
d(30234, 30234) = 42757.3328448
d(30235, 30235) = 42758.7470584
d(30236, 30236) = 42760.1612719
d(30237, 30237) = 42761.5754855
d(30238, 30238) = 42762.989699
d(30239, 30239) = 42764.4039126
d(30240, 30240) = 42765.8181262
d(30241, 30241) = 42767.2323397
d(30242, 30242) = 42768.6465533
d(30243, 30243) = 42770.0607668
d(30244, 30244) = 42771.4749804
d(30245, 30245) = 42772.889194
d(30246, 30246) = 42774.3034075
d(30247, 30247) = 42775.7176211
d(30248, 30248) = 42777.1318347
d(30249, 30249) = 42778.5460482
d(30250, 30250) = 42779.9602618
d(30251, 30251) = 42781.3744753
d(30252, 30252) = 42782.7886889
d(30253, 30253) = 42784.2029025
d(30254, 30254) = 42785.617116
d(30255, 30255) = 42787.0313296
d(30256, 30256) = 42788.4455432
d(30257, 30257) = 42789.8597567
d(30258, 30258) = 42791.2739703
d(30259, 30259) = 42792.6881838
d(30260, 30260) = 42794.1023974
d(30261, 30261) = 42795.516611
d(30262, 30262) = 42796.9308245
d(30263, 30263) = 42798.3450381
d(30264, 30264) = 42799.7592517
d(30265, 30265) = 42801.1734652
d(30266, 30266) = 42802.5876788
d(30267, 30267) = 42804.0018923
d(30268, 30268) = 42805.4161059
d(30269, 30269) = 42806.8303195
d(30270, 30270) = 42808.244533
d(30271, 30271) = 42809.6587466
d(30272, 30272) = 42811.0729602
d(30273, 30273) = 42812.4871737
d(30274, 30274) = 42813.9013873
d(30275, 30275) = 42815.3156008
d(30276, 30276) = 42816.7298144
d(30277, 30277) = 42818.144028
d(30278, 30278) = 42819.5582415
d(30279, 30279) = 42820.9724551
d(30280, 30280) = 42822.3866687
d(30281, 30281) = 42823.8008822
d(30282, 30282) = 42825.2150958
d(30283, 30283) = 42826.6293093
d(30284, 30284) = 42828.0435229
d(30285, 30285) = 42829.4577365
d(30286, 30286) = 42830.87195
d(30287, 30287) = 42832.2861636
d(30288, 30288) = 42833.7003772
d(30289, 30289) = 42835.1145907
d(30290, 30290) = 42836.5288043
d(30291, 30291) = 42837.9430178
d(30292, 30292) = 42839.3572314
d(30293, 30293) = 42840.771445
d(30294, 30294) = 42842.1856585
d(30295, 30295) = 42843.5998721
d(30296, 30296) = 42845.0140857
d(30297, 30297) = 42846.4282992
d(30298, 30298) = 42847.8425128
d(30299, 30299) = 42849.2567263
d(30300, 30300) = 42850.6709399
d(30301, 30301) = 42852.0851535
d(30302, 30302) = 42853.499367
d(30303, 30303) = 42854.9135806
d(30304, 30304) = 42856.3277942
d(30305, 30305) = 42857.7420077
d(30306, 30306) = 42859.1562213
d(30307, 30307) = 42860.5704348
d(30308, 30308) = 42861.9846484
d(30309, 30309) = 42863.398862
d(30310, 30310) = 42864.8130755
d(30311, 30311) = 42866.2272891
d(30312, 30312) = 42867.6415027
d(30313, 30313) = 42869.0557162
d(30314, 30314) = 42870.4699298
d(30315, 30315) = 42871.8841433
d(30316, 30316) = 42873.2983569
d(30317, 30317) = 42874.7125705
d(30318, 30318) = 42876.126784
d(30319, 30319) = 42877.5409976
d(30320, 30320) = 42878.9552112
d(30321, 30321) = 42880.3694247
d(30322, 30322) = 42881.7836383
d(30323, 30323) = 42883.1978518
d(30324, 30324) = 42884.6120654
d(30325, 30325) = 42886.026279
d(30326, 30326) = 42887.4404925
d(30327, 30327) = 42888.8547061
d(30328, 30328) = 42890.2689197
d(30329, 30329) = 42891.6831332
d(30330, 30330) = 42893.0973468
d(30331, 30331) = 42894.5115603
d(30332, 30332) = 42895.9257739
d(30333, 30333) = 42897.3399875
d(30334, 30334) = 42898.754201
d(30335, 30335) = 42900.1684146
d(30336, 30336) = 42901.5826282
d(30337, 30337) = 42902.9968417
d(30338, 30338) = 42904.4110553
d(30339, 30339) = 42905.8252688
d(30340, 30340) = 42907.2394824
d(30341, 30341) = 42908.653696
d(30342, 30342) = 42910.0679095
d(30343, 30343) = 42911.4821231
d(30344, 30344) = 42912.8963366
d(30345, 30345) = 42914.3105502
d(30346, 30346) = 42915.7247638
d(30347, 30347) = 42917.1389773
d(30348, 30348) = 42918.5531909
d(30349, 30349) = 42919.9674045
d(30350, 30350) = 42921.381618
d(30351, 30351) = 42922.7958316
d(30352, 30352) = 42924.2100451
d(30353, 30353) = 42925.6242587
d(30354, 30354) = 42927.0384723
d(30355, 30355) = 42928.4526858
d(30356, 30356) = 42929.8668994
d(30357, 30357) = 42931.281113
d(30358, 30358) = 42932.6953265
d(30359, 30359) = 42934.1095401
d(30360, 30360) = 42935.5237536
d(30361, 30361) = 42936.9379672
d(30362, 30362) = 42938.3521808
d(30363, 30363) = 42939.7663943
d(30364, 30364) = 42941.1806079
d(30365, 30365) = 42942.5948215
d(30366, 30366) = 42944.009035
d(30367, 30367) = 42945.4232486
d(30368, 30368) = 42946.8374621
d(30369, 30369) = 42948.2516757
d(30370, 30370) = 42949.6658893
d(30371, 30371) = 42951.0801028
d(30372, 30372) = 42952.4943164
d(30373, 30373) = 42953.90853
d(30374, 30374) = 42955.3227435
d(30375, 30375) = 42956.7369571
d(30376, 30376) = 42958.1511706
d(30377, 30377) = 42959.5653842
d(30378, 30378) = 42960.9795978
d(30379, 30379) = 42962.3938113
d(30380, 30380) = 42963.8080249
d(30381, 30381) = 42965.2222385
d(30382, 30382) = 42966.636452
d(30383, 30383) = 42968.0506656
d(30384, 30384) = 42969.4648791
d(30385, 30385) = 42970.8790927
d(30386, 30386) = 42972.2933063
d(30387, 30387) = 42973.7075198
d(30388, 30388) = 42975.1217334
d(30389, 30389) = 42976.535947
d(30390, 30390) = 42977.9501605
d(30391, 30391) = 42979.3643741
d(30392, 30392) = 42980.7785876
d(30393, 30393) = 42982.1928012
d(30394, 30394) = 42983.6070148
d(30395, 30395) = 42985.0212283
d(30396, 30396) = 42986.4354419
d(30397, 30397) = 42987.8496555
d(30398, 30398) = 42989.263869
d(30399, 30399) = 42990.6780826
d(30400, 30400) = 42992.0922961
d(30401, 30401) = 42993.5065097
d(30402, 30402) = 42994.9207233
d(30403, 30403) = 42996.3349368
d(30404, 30404) = 42997.7491504
d(30405, 30405) = 42999.163364
d(30406, 30406) = 43000.5775775
d(30407, 30407) = 43001.9917911
d(30408, 30408) = 43003.4060046
d(30409, 30409) = 43004.8202182
d(30410, 30410) = 43006.2344318
d(30411, 30411) = 43007.6486453
d(30412, 30412) = 43009.0628589
d(30413, 30413) = 43010.4770725
d(30414, 30414) = 43011.891286
d(30415, 30415) = 43013.3054996
d(30416, 30416) = 43014.7197131
d(30417, 30417) = 43016.1339267
d(30418, 30418) = 43017.5481403
d(30419, 30419) = 43018.9623538
d(30420, 30420) = 43020.3765674
d(30421, 30421) = 43021.790781
d(30422, 30422) = 43023.2049945
d(30423, 30423) = 43024.6192081
d(30424, 30424) = 43026.0334216
d(30425, 30425) = 43027.4476352
d(30426, 30426) = 43028.8618488
d(30427, 30427) = 43030.2760623
d(30428, 30428) = 43031.6902759
d(30429, 30429) = 43033.1044895
d(30430, 30430) = 43034.518703
d(30431, 30431) = 43035.9329166
d(30432, 30432) = 43037.3471301
d(30433, 30433) = 43038.7613437
d(30434, 30434) = 43040.1755573
d(30435, 30435) = 43041.5897708
d(30436, 30436) = 43043.0039844
d(30437, 30437) = 43044.4181979
d(30438, 30438) = 43045.8324115
d(30439, 30439) = 43047.2466251
d(30440, 30440) = 43048.6608386
d(30441, 30441) = 43050.0750522
d(30442, 30442) = 43051.4892658
d(30443, 30443) = 43052.9034793
d(30444, 30444) = 43054.3176929
d(30445, 30445) = 43055.7319064
d(30446, 30446) = 43057.14612
d(30447, 30447) = 43058.5603336
d(30448, 30448) = 43059.9745471
d(30449, 30449) = 43061.3887607
d(30450, 30450) = 43062.8029743
d(30451, 30451) = 43064.2171878
d(30452, 30452) = 43065.6314014
d(30453, 30453) = 43067.0456149
d(30454, 30454) = 43068.4598285
d(30455, 30455) = 43069.8740421
d(30456, 30456) = 43071.2882556
d(30457, 30457) = 43072.7024692
d(30458, 30458) = 43074.1166828
d(30459, 30459) = 43075.5308963
d(30460, 30460) = 43076.9451099
d(30461, 30461) = 43078.3593234
d(30462, 30462) = 43079.773537
d(30463, 30463) = 43081.1877506
d(30464, 30464) = 43082.6019641
d(30465, 30465) = 43084.0161777
d(30466, 30466) = 43085.4303913
d(30467, 30467) = 43086.8446048
d(30468, 30468) = 43088.2588184
d(30469, 30469) = 43089.6730319
d(30470, 30470) = 43091.0872455
d(30471, 30471) = 43092.5014591
d(30472, 30472) = 43093.9156726
d(30473, 30473) = 43095.3298862
d(30474, 30474) = 43096.7440998
d(30475, 30475) = 43098.1583133
d(30476, 30476) = 43099.5725269
d(30477, 30477) = 43100.9867404
d(30478, 30478) = 43102.400954
d(30479, 30479) = 43103.8151676
d(30480, 30480) = 43105.2293811
d(30481, 30481) = 43106.6435947
d(30482, 30482) = 43108.0578083
d(30483, 30483) = 43109.4720218
d(30484, 30484) = 43110.8862354
d(30485, 30485) = 43112.3004489
d(30486, 30486) = 43113.7146625
d(30487, 30487) = 43115.1288761
d(30488, 30488) = 43116.5430896
d(30489, 30489) = 43117.9573032
d(30490, 30490) = 43119.3715168
d(30491, 30491) = 43120.7857303
d(30492, 30492) = 43122.1999439
d(30493, 30493) = 43123.6141574
d(30494, 30494) = 43125.028371
d(30495, 30495) = 43126.4425846
d(30496, 30496) = 43127.8567981
d(30497, 30497) = 43129.2710117
d(30498, 30498) = 43130.6852253
d(30499, 30499) = 43132.0994388
d(30500, 30500) = 43133.5136524
d(30501, 30501) = 43134.9278659
d(30502, 30502) = 43136.3420795
d(30503, 30503) = 43137.7562931
d(30504, 30504) = 43139.1705066
d(30505, 30505) = 43140.5847202
